customer_id,first_name,last_name,email,phone_number,dob,street_address,city,state,postal_code,country,risk_score_segment,created_at
CUST_0001,Deepa,Joshi,cust_0001@example-bank.com,+91 8669472612,1976-07-10,"Flat 105, Block A",Kolkata,West Bengal,210875,India,Low,2025-11-26 07:45:37
CUST_0002,Shweta,Singh,cust_0002@example-bank.com,+91 9096373144,1992-01-05,"Flat 481, Block B",Hyderabad,Telangana,242624,India,Low,2026-01-08 01:09:36
CUST_0003,Priya,Nair,cust_0003@example-bank.com,+91 9279368386,1961-02-08,"Flat 436, Block D",Ahmedabad,Gujarat,118628,India,Low,2025-09-30 00:52:20
CUST_0004,Deepa,Kumbari,cust_0004@example-bank.com,+91 7241159580,1968-03-17,"Flat 434, Block C",Pune,Maharashtra,771076,India,Medium,2026-02-18 21:15:55
CUST_0005,Priya,Nair,cust_0005@example-bank.com,+91 8926794237,1967-03-07,"Flat 408, Block D",Bengaluru,Karnataka,423592,India,Low,2026-02-02 21:13:20
CUST_0006,Anjali,Rao,cust_0006@example-bank.com,+91 8723012507,1966-02-23,"Flat 274, Block B",Bengaluru,Karnataka,794865,India,Low,2025-08-13 12:51:16
CUST_0007,Neha,Patel,cust_0007@example-bank.com,+91 8699650351,1997-08-28,"Flat 161, Block B",Delhi,Delhi,313902,India,Low,2025-07-17 06:20:34
CUST_0008,Sneha,Verma,cust_0008@example-bank.com,+91 6215482826,1999-12-20,"Flat 143, Block B",Delhi,Delhi,817740,India,Low,2025-05-25 21:39:37
CUST_0009,Vikram,Kumbari,cust_0009@example-bank.com,+91 8725599122,1995-08-27,"Flat 134, Block B",Delhi,Delhi,507263,India,Low,2025-11-02 08:17:44
CUST_0010,Neha,Sharma,cust_0010@example-bank.com,+91 6103057302,1989-07-28,"Flat 387, Block B",Kolkata,West Bengal,121653,India,Low,2025-11-26 08:07:39
CUST_0011,Sneha,Joshi,cust_0011@example-bank.com,+91 7596868468,1972-10-12,"Flat 153, Block A",Bengaluru,Karnataka,136717,India,Low,2025-06-17 14:37:20
CUST_0012,Vikram,Singh,cust_0012@example-bank.com,+91 9617949789,1984-02-26,"Flat 58, Block C",Bengaluru,Karnataka,264236,India,Low,2026-03-01 20:01:57
CUST_0013,Rahul,Rao,cust_0013@example-bank.com,+91 7640710999,1993-09-21,"Flat 420, Block D",Mumbai,Maharashtra,269298,India,Medium,2025-09-08 04:47:59
CUST_0014,Deepa,Das,cust_0014@example-bank.com,+91 9192689234,1969-12-20,"Flat 397, Block A",Pune,Maharashtra,446480,India,Low,2025-10-12 23:49:45
CUST_0015,Deepa,Nair,cust_0015@example-bank.com,+91 8439029677,1972-08-17,"Flat 177, Block A",Bengaluru,Karnataka,450561,India,Low,2025-08-07 01:17:56
CUST_0016,Vijay,Kumbari,cust_0016@example-bank.com,+91 7513875013,1979-05-23,"Flat 296, Block A",Bengaluru,Karnataka,785322,India,Low,2025-12-24 21:13:30
CUST_0017,Deepa,Joshi,cust_0017@example-bank.com,+91 6315792112,1988-07-16,"Flat 353, Block D",Chennai,Tamil Nadu,612937,India,Low,2025-08-01 01:09:34
CUST_0018,Ramesh,Rao,cust_0018@example-bank.com,+91 7569243214,1978-05-21,"Flat 243, Block B",Hyderabad,Telangana,791006,India,Low,2025-10-04 06:37:34
CUST_0019,Rahul,Nair,cust_0019@example-bank.com,+91 8280681363,1972-08-31,"Flat 219, Block D",Delhi,Delhi,818212,India,Medium,2026-03-12 06:49:37
CUST_0020,Deepa,Joshi,cust_0020@example-bank.com,+91 9663189937,1982-09-20,"Flat 30, Block D",Kolkata,West Bengal,288596,India,Low,2025-04-16 11:18:23
CUST_0021,Priya,Nair,cust_0021@example-bank.com,+91 8521249126,1971-09-25,"Flat 500, Block D",Mumbai,Maharashtra,342405,India,Low,2026-03-10 05:58:52
CUST_0022,Ramesh,Nair,cust_0022@example-bank.com,+91 7489339404,1993-03-05,"Flat 243, Block C",Ahmedabad,Gujarat,442842,India,Low,2025-06-03 02:33:42
CUST_0023,Vikram,Patel,cust_0023@example-bank.com,+91 9953066331,1986-12-31,"Flat 478, Block B",Pune,Maharashtra,276351,India,Low,2025-09-21 13:45:38
CUST_0024,Rahul,Joshi,cust_0024@example-bank.com,+91 7422975519,1973-08-04,"Flat 271, Block D",Mumbai,Maharashtra,321979,India,Low,2026-02-07 15:10:31
CUST_0025,Vijay,Mehta,cust_0025@example-bank.com,+91 8395097110,1974-03-14,"Flat 377, Block B",Ahmedabad,Gujarat,280233,India,Low,2026-01-12 07:59:00
CUST_0026,Suresh,Joshi,cust_0026@example-bank.com,+91 9598033398,1997-03-25,"Flat 414, Block B",Kolkata,West Bengal,403677,India,Medium,2025-06-18 11:27:17
CUST_0027,Ramesh,Joshi,cust_0027@example-bank.com,+91 6084301335,1988-02-16,"Flat 181, Block C",Chennai,Tamil Nadu,828513,India,Medium,2025-05-16 18:21:08
CUST_0028,Vikram,Nair,cust_0028@example-bank.com,+91 9097231474,1995-01-01,"Flat 137, Block C",Ahmedabad,Gujarat,246181,India,Low,2026-01-15 16:46:04
CUST_0029,Amit,Das,cust_0029@example-bank.com,+91 7588285153,1974-07-22,"Flat 45, Block B",Chennai,Tamil Nadu,393053,India,Low,2025-04-10 07:56:56
CUST_0030,Shweta,Joshi,cust_0030@example-bank.com,+91 7499912045,1975-11-30,"Flat 220, Block D",Chennai,Tamil Nadu,759613,India,Medium,2025-06-24 11:33:15
CUST_0031,Suresh,Kumbari,cust_0031@example-bank.com,+91 8532766289,1961-04-06,"Flat 321, Block D",Hyderabad,Telangana,666580,India,Low,2025-12-18 12:49:50
CUST_0032,Vijay,Joshi,cust_0032@example-bank.com,+91 7436155312,1965-08-17,"Flat 463, Block A",Bengaluru,Karnataka,690611,India,Low,2026-01-08 05:26:38
CUST_0033,Suresh,Sharma,cust_0033@example-bank.com,+91 9788613377,1986-08-16,"Flat 31, Block D",Ahmedabad,Gujarat,613873,India,Low,2025-09-29 11:04:48
CUST_0034,Priya,Kumbari,cust_0034@example-bank.com,+91 9571738084,1968-02-07,"Flat 287, Block A",Delhi,Delhi,320362,India,High,2025-06-25 11:39:42
CUST_0035,Ramesh,Singh,cust_0035@example-bank.com,+91 6557052387,1963-03-13,"Flat 251, Block D",Delhi,Delhi,522384,India,Low,2026-02-05 22:29:49
CUST_0036,Deepa,Sharma,cust_0036@example-bank.com,+91 7060965779,1977-04-02,"Flat 339, Block B",Delhi,Delhi,167174,India,Low,2025-12-29 23:48:34
CUST_0037,Amit,Gupta,cust_0037@example-bank.com,+91 6224598428,1978-11-20,"Flat 50, Block D",Delhi,Delhi,538865,India,Low,2026-01-13 12:44:00
CUST_0038,Vikram,Joshi,cust_0038@example-bank.com,+91 9484943560,1975-12-19,"Flat 246, Block B",Hyderabad,Telangana,533677,India,Low,2026-01-07 23:00:34
CUST_0039,Vikram,Patel,cust_0039@example-bank.com,+91 7412071405,1988-06-18,"Flat 264, Block B",Ahmedabad,Gujarat,185251,India,Low,2025-05-08 22:51:20
CUST_0040,Anjali,Mehta,cust_0040@example-bank.com,+91 7111140477,1960-05-02,"Flat 299, Block B",Pune,Maharashtra,790409,India,Low,2025-09-05 18:56:01
CUST_0041,Sneha,Reddy,cust_0041@example-bank.com,+91 9811685363,1983-04-02,"Flat 381, Block D",Bengaluru,Karnataka,169581,India,Low,2025-09-30 04:06:51
CUST_0042,Vijay,Singh,cust_0042@example-bank.com,+91 6346334739,1962-10-11,"Flat 255, Block B",Bengaluru,Karnataka,131715,India,High,2025-04-11 11:31:40
CUST_0043,Vijay,Joshi,cust_0043@example-bank.com,+91 7003462760,1977-01-27,"Flat 131, Block C",Ahmedabad,Gujarat,463555,India,Low,2025-08-30 17:36:08
